"","Year","Quarter","HPU"
"1",1982,1,46.1003074645996
"2",1982,2,42.6177940368652
"3",1982,3,38.0759201049805
"4",1982,4,44.5968360900879
"5",1983,1,68.5490188598633
"6",1983,2,76.4164276123047
"7",1983,3,52.7961959838867
"8",1983,4,37.4793243408203
"9",1984,1,28.1851654052734
"10",1984,2,39.3993301391602
"11",1984,3,44.1594734191895
"12",1984,4,64.8412704467773
"13",1985,1,76.0837783813477
"14",1985,2,40.3485488891602
"15",1985,3,32.055778503418
"16",1985,4,33.2853240966797
"17",1986,1,39.1706314086914
"18",1986,2,34.8619575500488
"19",1986,3,49.8719177246094
"20",1986,4,53.9708824157715
"21",1987,1,38.92724609375
"22",1987,2,40.3067245483398
"23",1987,3,51.5322341918945
"24",1987,4,60.1724090576172
"25",1988,1,47.2730674743652
"26",1988,2,56.8738632202148
"27",1988,3,60.0630264282227
"28",1988,4,65.0629959106445
"29",1989,1,63.0098419189453
"30",1989,2,52.9545364379883
"31",1989,3,42.497974395752
"32",1989,4,69.1090316772461
"33",1990,1,79.3716735839844
"34",1990,2,90.4969863891602
"35",1990,3,171.968719482422
"36",1990,4,140.601501464844
"37",1991,1,107.677139282227
"38",1991,2,79.0821990966797
"39",1991,3,86.7534866333008
"40",1991,4,98.6363525390625
"41",1992,1,136.685272216797
"42",1992,2,134.444686889648
"43",1992,3,134.632293701172
"44",1992,4,98.6946105957031
"45",1993,1,80.6445693969727
"46",1993,2,70.9317779541016
"47",1993,3,49.4051055908203
"48",1993,4,75.0536117553711
"49",1994,1,52.6916809082031
"50",1994,2,52.8431053161621
"51",1994,3,76.8963012695312
"52",1994,4,78.4437026977539
"53",1995,1,81.0855941772461
"54",1995,2,82.8194122314453
"55",1995,3,69.7580032348633
"56",1995,4,80.67919921875
"57",1996,1,74.4462203979492
"58",1996,2,139.761764526367
"59",1996,3,55.2245292663574
"60",1996,4,49.7981185913086
"61",1997,1,32.5744857788086
"62",1997,2,50.3801727294922
"63",1997,3,59.9140434265137
"64",1997,4,62.4217643737793
"65",1998,1,51.802864074707
"66",1998,2,27.4718437194824
"67",1998,3,59.5127792358398
"68",1998,4,48.3275566101074
"69",1999,1,37.2015991210938
"70",1999,2,27.3236293792725
"71",1999,3,29.3593139648438
"72",1999,4,27.5901679992676
"73",2000,1,27.6229705810547
"74",2000,2,41.0577087402344
"75",2000,3,42.2233238220215
"76",2000,4,42.7061805725098
"77",2001,1,38.2839164733887
"78",2001,2,45.0766944885254
"79",2001,3,66.9121932983398
"80",2001,4,95.7288970947266
"81",2002,1,55.1695709228516
"82",2002,2,80.5771636962891
"83",2002,3,78.9622650146484
"84",2002,4,119.56812286377
"85",2003,1,128.476226806641
"86",2003,2,115.910308837891
"87",2003,3,52.9478073120117
"88",2003,4,51.214672088623
"89",2004,1,56.2992248535156
"90",2004,2,65.316032409668
"91",2004,3,110.002876281738
"92",2004,4,111.054100036621
"93",2005,1,86.0058288574219
"94",2005,2,83.9868392944336
"95",2005,3,68.3678665161133
"96",2005,4,39.5911254882812
"97",2006,1,55.675666809082
"98",2006,2,69.633430480957
"99",2006,3,69.207145690918
"100",2006,4,52.477668762207
"101",2007,1,109.407432556152
"102",2007,2,107.686683654785
"103",2007,3,201.845153808594
"104",2007,4,218.388290405273
"105",2008,1,210.965682983398
"106",2008,2,139.16716003418
"107",2008,3,264.552520751953
"108",2008,4,144.180557250977
"109",2009,1,118.948501586914
"110",2009,2,129.563888549805
"111",2009,3,144.738464355469
"112",2009,4,86.3412551879883
"113",2010,1,143.440170288086
"114",2010,2,140.17822265625
"115",2010,3,183.040161132812
"116",2010,4,210.012496948242
"117",2011,1,128.395797729492
"118",2011,2,96.8334884643555
"119",2011,3,141.095764160156
"120",2011,4,118.336524963379
"121",2012,1,130.002365112305
"122",2012,2,92.4407348632812
"123",2012,3,102.017059326172
"124",2012,4,105.441551208496
"125",2013,1,97.8710632324219
"126",2013,2,107.636154174805
"127",2013,3,82.1016082763672
"128",2013,4,141.398071289062
"129",2014,1,90.7178955078125
"130",2014,2,80.6771850585938
"131",2014,3,92.6168365478516
"132",2014,4,77.4136505126953
"133",2015,1,145.224029541016
"134",2015,2,153.181991577148
"135",2015,3,90.9558944702148
"136",2015,4,71.7153778076172
"137",2016,1,137.008361816406
"138",2016,2,255.727172851562
"139",2016,3,270.768798828125
"140",2016,4,192.340728759766
"141",2017,1,166.823532104492
"142",2017,2,171.668975830078
"143",2017,3,143.827682495117
"144",2017,4,122.491325378418
"145",2018,1,161.46875
"146",2018,2,140.46940612793
